run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,feasible,mlt_improve_best,mlt_improve_current,mlt_accepted,rrt_start_threshold,rrt_end_threshold,reset_current,local_search,n_iterations,elapsed_time,remove_best_score,remove_best_or_rnd_score,remove_rnd_score,remove_rnd_3_score,swap_tb_with_det_score,swap_tb_with_tb_score,swap_det_with_det_score,swap_rnd_with_rnd_score,insert_best_at_best_score,insert_rnd_at_best_score,insert_rnd_at_rnd_score,iter_last_update_best
2022-03-01-11-16-20,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,75.0,155.7020887374878,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-25-0.1-2.json,hop_tsiligirides-1-25-0.1-2,31,30,27,3,315.0,10.5,9.444444444444445,20.0,0.059505133218106,8.435870126384714,25.0,tsiligirides_hop,1,25,0.1,2,"0,26,30,24,22,21,20,11,0",75.0,1.0,24.98457215799004,99.93828863196016,7,0,23.80952380952381,23.33333333333333,0.0,10.714285714285714,0.0,0.0,13.020203134171869,0.0,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,389.26,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005,1.411,1.03,1
2022-03-01-12-22-22,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,420.0,196.17100276947025,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-45-0.1-3.json,hop_tsiligirides-3-45-0.1-3,32,31,28,3,940.0,30.32258064516129,26.071428571428573,70.0,0.0900822666452538,9.386695470404131,45.0,tsiligirides_hop,3,45,0.1,3,"0,25,28,30,7,1,5,12,14,15,16,19,27,4,6,21,23,0",420.0,1.0,44.44041003830757,98.7564667517946,16,0,44.680851063829785,51.61290322580645,0.0,26.25,0.0,0.0,19.672489979155703,0.0,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,490.43,1.015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.138,1.432,1.099,343
2022-03-01-12-12-54,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,194.0794090266957,207.8541269302368,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-25-0.4-3.json,hop_tsiligirides-3-25-0.4-3,32,31,19,12,1460.0,47.096774193548384,24.73684210526316,82.5,0.0775445294623514,9.386695470404131,25.0,tsiligirides_hop,3,25,0.4,3,"0,21,6,4,16,3,13,26,0",250.0,0.776317636106783,24.78476655673077,99.13906622692306,7,1,17.123287671232877,22.580645161290324,14.285714285714286,26.666666666666668,90.0,0.0627644384383832,13.317233133986738,4.034028248626528,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,519.64,1.0,1.01,1.0,1.0,1.0,1.0,1.025,1.005,1.01,1.705,1.144,5500
2022-03-01-11-16-43,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,94.24006430945256,164.00304336547853,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-25-0.3-5.json,hop_tsiligirides-1-25-0.3-5,31,30,21,9,625.0,20.83333333333333,9.523809523809524,47.22222222222222,0.0743420305899887,8.435870126384714,25.0,tsiligirides_hop,1,25,0.3,5,"0,18,25,19,26,30,29,27,0",105.0,0.8975244219947862,23.63498137773474,94.53992551093896,7,1,16.8,23.33333333333333,14.285714285714286,9.166666666666666,50.0,0.0604380931961612,13.856927415868748,1.7888543819998317,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,410.01,1.0,1.005,1.0,1.0,1.0,1.0,1.0,1.005,1.0,1.122,1.051,1
2022-03-02-10-24-15,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,245.0,525.6637754440308,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.1-4.json,hop_tsiligirides-1-75-0.1-4,31,30,27,3,375.0,12.5,9.444444444444445,40.0,0.0697609010529202,8.435870126384714,75.0,tsiligirides_hop,1,75,0.1,4,"0,27,28,16,15,14,13,3,4,5,6,2,1,7,8,9,10,23,22,24,29,30,25,19,26,18,0",245.0,1.0,74.40482764762271,99.20643686349696,25,0,65.33333333333333,83.33333333333333,0.0,9.8,0.0,0.0,36.033373278696914,0.0,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,1314.16,1.005,1.02,1.0,1.01,1.0,1.0,1.0,1.0,10.0,4.578,1.144,1825
2022-03-01-12-36-01,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,600.0,257.6592277526856,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.1-4.json,hop_tsiligirides-3-70-0.1-4,32,31,28,3,1010.0,32.58064516129032,26.071428571428573,93.33333333333331,0.0809307372237822,9.386695470404131,70.0,tsiligirides_hop,3,70,0.1,4,"0,23,21,6,4,27,3,19,16,15,20,14,12,5,1,7,30,11,28,29,9,8,24,0",600.0,1.0,69.0345312830794,98.62075897582773,22,0,59.40594059405941,70.96774193548387,0.0,27.27272727272728,0.0,0.0,38.78604928930992,0.0,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,644.15,1.083,1.133,1.0,1.01,1.0,1.0,1.01,1.0,1.432,10.0,1.197,8000
2022-03-01-12-48-13,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,763.4303481253875,361.63041057586673,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-90-0.1-5.json,hop_tsiligirides-3-90-0.1-5,32,31,28,3,1280.0,41.29032258064516,24.285714285714285,200.0,0.0806739487251839,9.386695470404131,90.0,tsiligirides_hop,3,90,0.1,5,"0,23,24,8,9,17,18,10,29,25,28,11,7,1,5,2,12,14,15,16,19,27,13,3,31,22,26,4,6,21,0",930.0,0.8208928474466533,89.74071993914428,99.71191104349366,29,1,72.65625,93.5483870967742,3.4482758620689653,24.285714285714285,250.0,0.0878252455655282,40.77436328222186,2.2472205054244214,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,904.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.261,1.476,1.067,323
2022-03-01-11-49-14,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,250.0,640.1253394126893,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-73-0.1-4.json,hop_tsiligirides-1-73-0.1-4,31,30,27,3,375.0,12.5,9.444444444444445,40.0,0.0848476558709558,8.435870126384714,73.0,tsiligirides_hop,1,73,0.1,4,"0,27,28,16,15,14,3,4,5,12,2,1,7,8,9,10,11,20,21,22,24,29,30,25,26,19,18,0",250.0,1.0,71.98886590922264,98.6148848071543,26,0,66.66666666666667,86.66666666666667,0.0,9.615384615384617,0.0,0.0,32.87067311823026,0.0,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,1600.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.498,1.056,546
2022-03-01-11-13-36,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,43.63561600080534,94.38509874343872,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-15-0.3-3.json,hop_tsiligirides-1-15-0.3-3,31,30,21,9,455.0,15.166666666666666,9.523809523809524,28.33333333333333,0.0669646100881078,8.435870126384714,15.0,tsiligirides_hop,1,15,0.3,3,"0,18,26,25,30,0",60.0,0.727260266680089,14.895625149856263,99.30416766570843,4,1,13.186813186813186,13.333333333333334,25.0,10.0,30.0,0.0585361090875529,9.19992353375295,5.440588203494178,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,235.96,1.02,1.015,1.01,1.0,1.29,1.0,1.173,1.714,1.056,1.191,1.167,2500
2022-03-01-12-25-22,ans_1.01_1.00_1.00_0.80_0.40_2000_500_10000,537.2096971456881,248.24785861969,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-45-0.1-5.json,hop_tsiligirides-3-45-0.1-5,32,31,28,3,1080.0,34.83870967741935,26.071428571428573,116.66666666666669,0.0803580196768077,9.386695470404131,45.0,tsiligirides_hop,3,45,0.1,5,"0,23,22,26,2,12,14,15,20,16,19,3,13,27,4,6,21,0",650.0,0.8264764571472124,44.95496504199127,99.89992231553614,16,1,60.18518518518518,51.61290322580645,6.25,26.666666666666668,250.0,0.0848086988646967,23.3934136806944,2.2472205054244214,True,1.01,1.0,1.0,0.8,0.4,2000,500,10000,620.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.582,10.0,1.335,6000
