run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_type,lift_mtz,add_vi1,add_vi2,add_vi3,add_vi4,integer_model,has_feasible_solution,original_obj,obj_bound
2022-08-23-15-09-51,nonlinear_model_with_vi1_liftMTZ,165.0,3603.260680913925,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-85-0.4-5.json,hop_tsiligirides-1-85-0.4-5,31,30,18,12,765.0,25.5,9.166666666666666,50.0,0.0735304494991162,8.435870126384714,85.0,tsiligirides_hop,1,85,0.4,5,"0,17,4,3,13,14,15,27,30,10,8,7,1,2,12,25,29,19,18,0",165.0,1.0,77.72900780419022,91.44589153434144,18,0,21.568627450980397,60.0,0.0,9.166666666666666,0.0,0.0,38.59000116573783,0.0,original,True,True,False,False,False,True,True,165.0,436.229073569
2022-08-23-14-31-53,nonlinear_model_with_vi1_liftMTZ,300.0,28.77081823348999,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-30-0.1-2.json,hop_tsiligirides-3-30-0.1-2,32,31,28,3,860.0,27.741935483870968,26.428571428571427,40.0,0.0761195253815768,9.386695470404131,30.0,tsiligirides_hop,3,30,0.1,2,"0,23,21,26,13,27,19,16,15,12,2,22,0",300.0,1.0,29.90485202566448,99.68284008554828,11,0,34.88372093023256,35.483870967741936,0.0,27.272727272727277,0.0,0.0,17.34017669240441,0.0,original,True,True,False,False,False,True,True,300.0,300.0003
2022-08-23-14-10-58,nonlinear_model_with_vi1_liftMTZ,153.865419705,5.515581130981445,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-15-0.2-4.json,hop_tsiligirides-2-15-0.2-4,20,19,16,3,690.0,36.31578947368421,23.125,106.66666666666669,0.0786098916753994,6.18210573440129,15.0,tsiligirides_hop,2,15,0.2,4,"0,6,11,7,8,9,13,12,0",190.0,0.8098179984472497,14.708909140901063,98.05939427267376,7,1,27.536231884057973,36.8421052631579,14.285714285714286,15.0,100.0,0.0816892818131777,7.999431093220757,2.5822940923926696,original,True,True,False,False,False,True,True,153.86541970497743,153.865573571
2022-08-23-14-35-19,nonlinear_model_with_vi1_liftMTZ,95.0,3078.212662935257,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.4-2.json,hop_tsiligirides-1-35-0.4-2,31,30,18,12,405.0,13.5,9.166666666666666,20.0,0.0769205665193805,8.435870126384714,35.0,tsiligirides_hop,1,35,0.4,2,"0,27,26,25,24,22,21,10,8,19,18,0",95.0,1.0,34.69415755857812,99.12616445308034,10,0,23.45679012345679,33.333333333333336,0.0,9.5,0.0,0.0,17.945030440331685,0.0,original,True,True,False,False,False,True,True,95.0,95.0000950001
2022-08-23-16-02-43,nonlinear_model_with_vi1_liftMTZ,157.104165972,3603.410042762756,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-85-0.4-2.json,hop_tsiligirides-3-85-0.4-2,32,31,19,12,1080.0,34.83870967741935,27.36842105263158,46.66666666666666,0.0716908940576669,9.386695470404131,85.0,tsiligirides_hop,3,85,0.4,2,"0,24,17,18,10,29,28,25,26,21,6,4,27,3,19,16,15,14,30,22,0",550.0,0.285643938131442,83.97893410796415,98.79874600936958,19,2,50.92592592592592,61.29032258064516,10.526315789473683,26.47058823529412,50.0,0.0614335046868659,42.4486253838935,10.161106292229688,original,True,True,False,False,False,True,True,157.10416597229317,672.554008004
2022-08-23-13-43-59,nonlinear_model_with_vi1_liftMTZ,54.2714419392,1.167457103729248,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-10-0.4-5.json,hop_tsiligirides-1-10-0.4-5,31,30,18,12,765.0,25.5,9.166666666666666,50.0,0.072477508299467,8.435870126384714,10.0,tsiligirides_hop,1,10,0.4,5,"0,26,27,0",60.0,0.9045240323195044,9.65271875819709,96.52718758197088,2,1,7.84313725490196,6.666666666666667,50.0,10.0,50.0,0.0560953455915125,5.893729532354589,1.7888543819998317,original,True,True,False,False,False,True,True,54.27144193917026,54.2714962107
2022-08-23-14-12-51,nonlinear_model_with_vi1_liftMTZ,191.695666326,3.3343331813812256,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-23-0.2-4.json,hop_tsiligirides-2-23-0.2-4,20,19,16,3,705.0,37.10526315789474,22.8125,113.33333333333331,0.0744935185403677,6.18210573440129,23.0,tsiligirides_hop,2,23,0.2,4,"0,12,13,9,8,7,1,3,4,5,6,0",230.0,0.8334594188102686,22.50763975443273,97.85930328014231,10,1,32.6241134751773,52.63157894736842,10.0,18.88888888888889,60.0,0.0611386277296241,12.430146919609273,2.979626341505916,original,True,True,False,False,False,True,True,191.6956663263618,191.695858022
2022-08-23-14-33-25,nonlinear_model_with_vi1_liftMTZ,338.046386806,60.23794198036194,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-30-0.2-3.json,hop_tsiligirides-3-30-0.2-3,32,31,25,6,1140.0,36.774193548387096,25.2,85.0,0.0760729015190111,9.386695470404131,30.0,tsiligirides_hop,3,30,0.2,3,"0,23,22,2,12,16,19,27,3,13,4,6,21,0",410.0,0.8245033824547813,29.71984595977392,99.0661531992464,12,1,35.96491228070175,38.70967741935484,8.333333333333334,23.63636363636364,150.0,0.0858723183121457,15.45631685345366,2.2472205054244214,original,True,True,False,False,False,True,True,338.0463868064603,338.046724853
2022-08-23-14-07-14,nonlinear_model_with_vi1_liftMTZ,232.692319638,26.49138736724853,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-80-0.3-4.json,hop_tsiligirides-1-80-0.3-4,31,30,21,9,495.0,16.5,10.238095238095235,31.11111111111111,0.0775371949513319,8.435870126384714,80.0,tsiligirides_hop,1,80,0.3,4,"0,12,1,9,10,11,20,18,19,25,22,24,23,30,26,28,16,15,14,13,4,17,27,0",255.0,0.912518900539822,79.76360564932672,99.7045070616584,22,1,51.51515151515152,73.33333333333333,4.545454545454546,10.238095238095235,40.0,0.0511760385534029,44.313466727325306,1.7888543819998317,original,True,True,False,False,False,True,True,232.6923196376546,232.69255233
2022-08-23-14-09-25,nonlinear_model_with_vi1_liftMTZ,195.0,158.0756368637085,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-80-0.3-3.json,hop_tsiligirides-1-80-0.3-3,31,30,21,9,465.0,15.5,9.285714285714286,30.0,0.0670241093616344,8.435870126384714,80.0,tsiligirides_hop,1,80,0.3,3,"0,26,30,27,28,16,15,14,13,3,4,5,6,2,7,8,19,21,20,11,24,18,0",195.0,1.0,77.95833466451946,97.44791833064932,21,0,41.935483870967744,70.0,0.0,9.285714285714286,0.0,0.0,40.53371858296947,0.0,original,True,True,False,False,False,True,True,195.0,195.000195
