run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_bound
2022-02-14-14-17-15,nonlinear_model,630.0,1156.9448585510254,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-85-0.2-3.json,hop_tsiligirides-3-85-0.2-3,32,31,25,6,1080.0,34.83870967741935,26.4,70.0,0.0700663905762041,9.386695470404131,85.0,tsiligirides_hop,3,85,0.2,3,"0,23,21,6,4,27,13,3,2,19,12,20,14,5,1,31,25,28,11,10,18,17,9,8,0",630.0,1.0,84.59680861388219,99.52565719280256,23,0,58.333333333333336,74.19354838709677,0.0,27.39130434782609,0.0,0.0,51.77035339702263,0.0,630.000630001
2022-02-14-10-44-12,nonlinear_model,114.421702293,219.0768280029297,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-30-0.1-5.json,hop_tsiligirides-1-30-0.1-5,31,30,27,3,365.0,12.166666666666666,9.814814814814817,33.333333333333336,0.0627810495102188,8.435870126384714,30.0,tsiligirides_hop,1,30,0.1,5,"0,18,11,20,21,22,23,24,25,30,26,0",150.0,0.762811348622246,29.48667702577548,98.2889234192516,10,1,41.0958904109589,33.333333333333336,10.0,11.11111111111111,50.0,0.0720258855544675,16.182165838686274,3.7589892258425,114.421816715
2022-02-14-13-57-37,nonlinear_model,682.80087897,1117.9610064029694,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-60-0.1-5.json,hop_tsiligirides-3-60-0.1-5,32,31,28,3,1280.0,41.29032258064516,24.285714285714285,200.0,0.0671311764249949,9.386695470404131,60.0,tsiligirides_hop,3,60,0.1,5,"0,26,22,31,25,28,30,7,1,5,2,12,14,15,20,16,19,3,13,27,4,6,21,23,0",770.0,0.8867543882723556,59.88622606800215,99.81037678000357,23,1,60.15625,74.19354838709677,4.3478260869565215,23.63636363636364,250.0,0.0530467448406258,30.11510277836387,2.265685424949236,682.801561771
2022-02-14-12-44-14,nonlinear_model,255.473919172,297.39187002182007,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-30-0.2-5.json,hop_tsiligirides-2-30-0.2-5,20,19,16,3,650.0,34.21052631578947,25.0,83.33333333333333,0.0761869503783271,6.18210573440129,30.0,tsiligirides_hop,2,30,0.2,5,"0,6,5,7,16,15,14,8,9,10,13,12,0",285.0,0.8963997163938713,29.91001725007203,99.7000575002401,11,1,43.84615384615385,57.89473684210526,9.090909090909092,23.5,50.0,0.0884194774276778,14.703354926621344,1.2369316876852985,255.474174646
2022-02-14-13-36-19,nonlinear_model,500.0,969.55242729187,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-50-0.2-3.json,hop_tsiligirides-3-50-0.2-3,32,31,25,6,1120.0,36.12903225806452,25.6,80.0,0.0734923597486187,9.386695470404131,50.0,tsiligirides_hop,3,50,0.2,3,"0,23,21,6,4,13,3,2,19,16,15,14,5,1,7,30,11,28,25,31,22,0",500.0,1.0,49.5798236649935,99.159647329987,20,0,44.642857142857146,64.51612903225806,0.0,25.0,0.0,0.0,26.46844653710632,0.0,500.000500001
2022-02-14-13-04-27,nonlinear_model,191.695666326,3600.796753168106,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-23-0.2-4.json,hop_tsiligirides-2-23-0.2-4,20,19,16,3,705.0,37.10526315789474,22.8125,113.33333333333331,0.0744935185403677,6.18210573440129,23.0,tsiligirides_hop,2,23,0.2,4,"0,12,13,9,8,7,1,3,4,5,6,0",230.0,0.8334594188102686,22.50763975443273,97.85930328014231,10,1,32.6241134751773,52.63157894736842,10.0,18.88888888888889,60.0,0.0611386277296241,12.430146919609273,2.979626341505916,191.695858022
2022-02-14-12-48-58,nonlinear_model,168.088973546,4.4813196659088135,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-15-0.2-3.json,hop_tsiligirides-3-15-0.2-3,32,31,25,6,1060.0,34.193548387096776,26.8,65.0,0.0745998979678003,9.386695470404131,15.0,tsiligirides_hop,3,15,0.2,3,"0,23,21,6,4,27,13,3,22,0",230.0,0.7308216241136458,14.744052404455983,98.29368269637324,8,2,21.69811320754717,25.806451612903224,25.0,23.33333333333333,45.0,0.0547381095419603,9.641456810640577,2.9907677703809847,168.089141635
2022-02-14-12-44-03,nonlinear_model,297.709955865,327.34707021713257,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-38-0.4-4.json,hop_tsiligirides-2-38-0.4-4,20,19,12,7,975.0,51.31578947368421,22.916666666666668,100.0,0.07227502979859,6.18210573440129,38.0,tsiligirides_hop,2,38,0.4,4,"0,5,4,1,3,18,17,16,8,9,13,12,10,11,0",335.0,0.8886864354186039,37.885408130477785,99.69844244862576,13,1,34.35897435897436,68.42105263157895,7.6923076923076925,22.916666666666668,60.0,0.0511128164123151,17.13583991467331,2.308830348924057,297.710253575
2022-02-14-13-00-18,nonlinear_model,274.458482403,8.90258526802063,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-15-0.4-4.json,hop_tsiligirides-3-15-0.4-4,32,31,19,12,1760.0,56.774193548387096,25.26315789473684,106.66666666666669,0.0781943741611612,9.386695470404131,15.0,tsiligirides_hop,3,15,0.4,4,"0,22,26,27,13,4,6,21,23,0",340.0,0.8072308305982402,14.763691720333863,98.42461146889242,8,2,19.318181818181817,25.806451612903224,25.0,16.666666666666668,120.0,0.0718344129841066,8.876548602365553,1.415685424949236,274.458756862
2022-02-14-13-48-35,nonlinear_model,19.0221743458,3602.050577402115,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-100-0.4-2.json,hop_tsiligirides-3-100-0.4-2,32,31,19,12,1110.0,35.806451612903224,25.789473684210527,51.66666666666666,0.0840658745819343,9.386695470404131,100.0,tsiligirides_hop,3,100,0.4,2,"0,23,0",20.0,0.9511087172917312,1.131370849898472,1.131370849898472,1,1,1.8018018018018016,3.225806451612903,100.0,0.0,20.0,0.0886126844374764,0.0,0.565685424949236,886.269680001
