instance_basename,BKS
hop_tsiligirides-1-10-0.1-2,20.0
hop_tsiligirides-1-10-0.1-3,20.0
hop_tsiligirides-1-10-0.1-4,20.0
hop_tsiligirides-1-10-0.1-5,20.0
hop_tsiligirides-1-10-0.2-2,20.0
hop_tsiligirides-1-10-0.2-3,30.9409383747
hop_tsiligirides-1-10-0.2-4,47.85408512792379
hop_tsiligirides-1-10-0.2-5,25.4432845409
hop_tsiligirides-1-10-0.3-2,27.0047387452
hop_tsiligirides-1-10-0.3-3,20.0
hop_tsiligirides-1-10-0.3-4,24.893726028
hop_tsiligirides-1-10-0.3-5,26.28282368243925
hop_tsiligirides-1-10-0.4-2,20.0
hop_tsiligirides-1-10-0.4-3,20.4557258814
hop_tsiligirides-1-10-0.4-4,50.78008364404471
hop_tsiligirides-1-10-0.4-5,54.2714419392
hop_tsiligirides-1-15-0.1-2,45.0
hop_tsiligirides-1-15-0.1-3,45.0
hop_tsiligirides-1-15-0.1-4,54.6757372167
hop_tsiligirides-1-15-0.1-5,45.0
hop_tsiligirides-1-15-0.2-2,45.0
hop_tsiligirides-1-15-0.2-3,45.0
hop_tsiligirides-1-15-0.2-4,60.3195214592
hop_tsiligirides-1-15-0.2-5,67.45732182930536
hop_tsiligirides-1-15-0.3-2,35.1334586511
hop_tsiligirides-1-15-0.3-3,43.63561600080534
hop_tsiligirides-1-15-0.3-4,45.0
hop_tsiligirides-1-15-0.3-5,51.7167884061
hop_tsiligirides-1-15-0.4-2,40.0
hop_tsiligirides-1-15-0.4-3,37.22078386060849
hop_tsiligirides-1-15-0.4-4,57.82377412953191
hop_tsiligirides-1-15-0.4-5,46.394801468749854
hop_tsiligirides-1-20-0.1-2,67.41631181082623
hop_tsiligirides-1-20-0.1-3,60.0
hop_tsiligirides-1-20-0.1-4,65.18266331994857
hop_tsiligirides-1-20-0.1-5,90.9570429422
hop_tsiligirides-1-20-0.2-2,45.0
hop_tsiligirides-1-20-0.2-3,57.1919757154
hop_tsiligirides-1-20-0.2-4,78.3409255857
hop_tsiligirides-1-20-0.2-5,65.0
hop_tsiligirides-1-20-0.3-2,55.0
hop_tsiligirides-1-20-0.3-3,55.0
hop_tsiligirides-1-20-0.3-4,58.1729029373
hop_tsiligirides-1-20-0.3-5,87.52915381994833
hop_tsiligirides-1-20-0.4-2,55.0
hop_tsiligirides-1-20-0.4-3,62.867356045223126
hop_tsiligirides-1-20-0.4-4,64.41594916853077
hop_tsiligirides-1-20-0.4-5,72.9134764618
hop_tsiligirides-1-25-0.1-2,75.0
hop_tsiligirides-1-25-0.1-3,85.0
hop_tsiligirides-1-25-0.1-4,85.0
hop_tsiligirides-1-25-0.1-5,90.0
hop_tsiligirides-1-25-0.2-2,85.0
hop_tsiligirides-1-25-0.2-3,80.0
hop_tsiligirides-1-25-0.2-4,90.0
hop_tsiligirides-1-25-0.2-5,88.33934444332846
hop_tsiligirides-1-25-0.3-2,85.0
hop_tsiligirides-1-25-0.3-3,75.47788395083829
hop_tsiligirides-1-25-0.3-4,89.6644761263
hop_tsiligirides-1-25-0.3-5,98.72768641942648
hop_tsiligirides-1-25-0.4-2,70.0
hop_tsiligirides-1-25-0.4-3,72.02180974931613
hop_tsiligirides-1-25-0.4-4,81.0695996399
hop_tsiligirides-1-25-0.4-5,92.63037227481664
hop_tsiligirides-1-30-0.1-2,110.0
hop_tsiligirides-1-30-0.1-3,105.0
hop_tsiligirides-1-30-0.1-4,95.0
hop_tsiligirides-1-30-0.1-5,114.42170229333688
hop_tsiligirides-1-30-0.2-2,80.0
hop_tsiligirides-1-30-0.2-3,95.0
hop_tsiligirides-1-30-0.2-4,110.0
hop_tsiligirides-1-30-0.2-5,105.0
