run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,algorithm_completed,n_still_active_labels
2022-02-12-16-19-24,labelling_StrongLabel,230.0,3600.1836001873016,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-60-0.2-2.json,hop_tsiligirides-3-60-0.2-2,32,31,25,6,940.0,30.32258064516129,26.4,46.66666666666666,0.0789757181827577,9.386695470404131,60.0,tsiligirides_hop,3,60,0.2,2,"0,6,4,3,2,5,1,7,10,9,8,0",230.0,1.0,42.334701696895046,70.55783616149174,10,0,24.46808510638298,32.25806451612903,0.0,23.0,0.0,0.0,25.348015713052924,0.0,False,21334
2022-02-12-13-15-48,labelling_StrongLabel,55.91432895501956,3600.1921944618225,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-80-0.3-5.json,hop_tsiligirides-1-80-0.3-5,31,30,21,9,605.0,20.166666666666668,9.761904761904765,44.44444444444444,0.0789132010214856,8.435870126384714,80.0,tsiligirides_hop,1,80,0.3,5,"0,5,6,4,3,2,1,8,0",75.0,0.7455243860669274,26.76895337184814,33.46119171481018,7,1,12.396694214876034,23.33333333333333,14.285714285714286,8.333333333333334,25.0,0.0515126756507259,16.48132200197961,5.700877125495689,False,20717
2022-02-12-18-18-51,labelling_StrongLabel,140.0,3600.172265768051,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-85-0.2-2.json,hop_tsiligirides-3-85-0.2-2,32,31,25,6,920.0,29.677419354838708,27.2,40.0,0.0689930876280393,9.386695470404131,85.0,tsiligirides_hop,3,85,0.2,2,"0,6,4,3,7,8,9,0",140.0,1.0,40.37793457953659,47.503452446513634,6,0,15.217391304347826,19.35483870967742,0.0,23.33333333333333,0.0,0.0,24.7344091359636,0.0,False,31381
2022-02-12-13-15-48,labelling_StrongLabel,55.0,3600.14591383934,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-85-0.1-4.json,hop_tsiligirides-1-85-0.1-4,31,30,27,3,345.0,11.5,9.814814814814817,26.666666666666668,0.0636833857827221,8.435870126384714,85.0,tsiligirides_hop,1,85,0.1,4,"0,4,3,2,6,7,8,9,0",55.0,1.0,29.94675993520466,35.23148227671136,7,0,15.942028985507246,23.33333333333333,0.0,7.857142857142857,0.0,0.0,15.35182968573116,0.0,False,24085
2022-02-12-16-30-49,labelling_StrongLabel,130.0,3600.856118917465,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.1-3.json,hop_tsiligirides-3-70-0.1-3,32,31,28,3,940.0,30.32258064516129,26.071428571428573,70.0,0.0701445778731352,9.386695470404131,70.0,tsiligirides_hop,3,70,0.1,3,"0,6,4,2,5,7,9,0",130.0,1.0,38.06250247063381,54.37500352947687,6,0,13.829787234042554,19.35483870967742,0.0,21.666666666666668,0.0,0.0,24.358610400786446,0.0,False,26254
2022-02-12-14-16-34,labelling_StrongLabel,145.0,3600.1446273326874,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-40-0.2-2.json,hop_tsiligirides-2-40-0.2-2,20,19,16,3,530.0,27.894736842105264,23.125,53.333333333333336,0.0771707797174798,6.18210573440129,40.0,tsiligirides_hop,2,40,0.2,2,"0,5,4,2,1,7,8,9,10,0",145.0,1.0,16.36415680578201,40.91039201445502,8,0,27.358490566037737,42.10526315789474,0.0,18.125,0.0,0.0,7.881943629024942,0.0,False,18722
2022-02-12-18-18-52,labelling_StrongLabel,180.0,3600.6708154678345,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-95-0.1-2.json,hop_tsiligirides-3-95-0.1-2,32,31,28,3,850.0,27.41935483870968,26.785714285714285,33.333333333333336,0.0758506414864224,9.386695470404131,95.0,tsiligirides_hop,3,95,0.1,2,"0,8,9,7,1,5,2,3,4,0",180.0,1.0,38.82469695996623,40.86810206312235,8,0,21.176470588235293,25.806451612903224,0.0,22.5,0.0,0.0,15.669852022527358,0.0,False,26559
2022-02-12-13-16-18,labelling_StrongLabel,123.89298386108248,3600.0820622444157,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-23-0.4-2.json,hop_tsiligirides-2-23-0.4-2,20,19,12,7,590.0,31.05263157894737,25.83333333333333,40.0,0.0724149197698711,6.18210573440129,23.0,tsiligirides_hop,2,23,0.4,2,"0,6,4,3,2,7,9,10,11,0",160.0,0.7743311491317655,20.326167637758843,88.37464190329932,8,1,27.11864406779661,42.10526315789474,12.5,17.142857142857142,40.0,0.0683726685654911,9.844579323997085,3.740612455251693,False,10384
2022-02-12-16-16-27,labelling_StrongLabel,160.0,3600.2278170585632,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-40-0.2-2.json,hop_tsiligirides-3-40-0.2-2,32,31,25,6,940.0,30.32258064516129,26.4,46.66666666666666,0.0780814462580411,9.386695470404131,40.0,tsiligirides_hop,3,40,0.2,2,"0,8,9,10,11,5,2,0",160.0,1.0,37.61772378704399,94.04430946760996,6,0,17.02127659574468,19.35483870967742,0.0,26.666666666666668,0.0,0.0,17.97669621921502,0.0,False,28253
2022-02-13-09-51-42,labelling_StrongLabel,189.8669788972353,3600.048049211502,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-25-0.4-5.json,hop_tsiligirides-2-25-0.4-5,20,19,12,7,1110.0,58.42105263157895,23.75,117.85714285714286,0.0777962843255064,6.18210573440129,25.0,tsiligirides_hop,2,25,0.4,5,"0,6,5,4,3,1,7,8,9,10,0",325.0,0.5842060889145702,20.635957191173297,82.54382876469319,9,2,29.27927927927928,47.36842105263158,22.22222222222222,17.857142857142858,100.0,0.0646434655223192,12.10696003154698,4.28143592108061,False,7586
2022-02-12-16-16-19,labelling_StrongLabel,220.0,3600.316751718521,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-45-0.2-3.json,hop_tsiligirides-3-45-0.2-3,32,31,25,6,1160.0,37.41935483870968,24.8,90.0,0.0749615341581574,9.386695470404131,45.0,tsiligirides_hop,3,45,0.2,3,"0,6,8,9,10,11,1,5,2,3,0",220.0,1.0,44.8718722159604,99.71527159102313,9,0,18.96551724137931,29.032258064516128,0.0,24.444444444444443,0.0,0.0,18.850479199479324,0.0,False,30513
2022-02-12-11-15-32,labelling_StrongLabel,80.0,3600.2716097831726,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-46-0.1-5.json,hop_tsiligirides-1-46-0.1-5,31,30,27,3,405.0,13.5,9.444444444444445,50.0,0.0655411801488374,8.435870126384714,46.0,tsiligirides_hop,1,46,0.1,5,"0,5,6,4,3,2,1,7,9,10,8,0",80.0,1.0,31.33847742277164,68.12712483211226,10,0,19.753086419753085,33.333333333333336,0.0,8.0,0.0,0.0,16.145527490993352,0.0,False,20677
2022-02-12-11-29-59,labelling_StrongLabel,50.0,3600.213697433472,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-50-0.4-4.json,hop_tsiligirides-1-50-0.4-4,31,30,18,12,615.0,20.5,9.72222222222222,36.66666666666666,0.0693760522676211,8.435870126384714,50.0,tsiligirides_hop,1,50,0.4,4,"0,4,2,1,7,8,9,0",50.0,1.0,25.83701088820965,51.67402177641932,6,0,8.130081300813009,20.0,0.0,8.333333333333334,0.0,0.0,12.996354828103025,0.0,False,24889
2022-02-12-10-15-00,labelling_StrongLabel,45.0,1.707916021347046,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-15-0.2-2.json,hop_tsiligirides-1-15-0.2-2,31,30,24,6,335.0,11.166666666666666,9.791666666666666,16.666666666666668,0.0734900407799391,8.435870126384714,15.0,tsiligirides_hop,1,15,0.2,2,"0,18,19,25,30,26,0",45.0,1.0,14.03922894254084,93.59485961693892,5,0,13.432835820895525,16.666666666666668,0.0,9.0,0.0,0.0,7.246124141128651,0.0,True,0
2022-02-12-13-15-47,labelling_StrongLabel,150.0,3600.0275826454163,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-20-0.1-3.json,hop_tsiligirides-2-20-0.1-3,20,19,18,1,480.0,25.26315789473684,24.166666666666668,45.0,0.0998012049846606,6.18210573440129,20.0,tsiligirides_hop,2,20,0.1,3,"0,10,9,7,1,2,3,5,6,0",150.0,1.0,19.92628638825833,99.63143194129164,8,0,31.25,42.10526315789474,0.0,18.75,0.0,0.0,10.259602101551517,0.0,False,6204
2022-02-12-16-33-49,labelling_StrongLabel,150.0,3601.2507281303406,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.2-3.json,hop_tsiligirides-3-70-0.2-3,32,31,25,6,1180.0,38.064516129032256,24.4,95.0,0.0741376500926681,9.386695470404131,70.0,tsiligirides_hop,3,70,0.2,3,"0,8,7,1,5,2,3,4,0",150.0,1.0,36.39814760716951,51.99735372452788,7,0,12.71186440677966,22.580645161290324,0.0,21.428571428571427,0.0,0.0,13.63439479013465,0.0,False,23598
2022-02-13-11-11-48,labelling_StrongLabel,80.0,3600.083645582199,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.1-4.json,hop_tsiligirides-1-35-0.1-4,31,30,27,3,390.0,13.0,9.25925925925926,46.66666666666666,0.0767826582041981,8.435870126384714,35.0,tsiligirides_hop,1,35,0.1,4,"0,5,6,4,3,2,1,7,9,10,8,0",80.0,1.0,31.33847742277164,89.53850692220469,10,0,20.512820512820515,33.333333333333336,0.0,8.0,0.0,0.0,16.145527490993352,0.0,False,15515
2022-02-12-12-21-45,labelling_StrongLabel,125.64969659207664,357.4205753803253,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-15-0.1-2.json,hop_tsiligirides-2-15-0.1-2,20,19,18,1,460.0,24.210526315789476,24.444444444444443,20.0,0.0527714478464342,6.18210573440129,15.0,tsiligirides_hop,2,15,0.1,2,"0,6,5,4,2,1,9,10,11,0",135.0,0.930738493274642,14.990446027087089,99.93630684724728,8,1,29.347826086956523,42.10526315789474,12.5,16.428571428571427,20.0,0.0527714478464342,8.538955287910989,1.3601470508735445,True,0
2022-02-12-14-19-59,labelling_StrongLabel,170.0,194.5004925727844,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-15-0.1-2.json,hop_tsiligirides-3-15-0.1-2,32,31,28,3,890.0,28.70967741935484,25.357142857142858,60.0,0.0669345615788563,9.386695470404131,15.0,tsiligirides_hop,3,15,0.1,2,"0,23,21,6,4,13,3,26,22,0",170.0,1.0,14.638352962281504,97.58901974854338,8,0,19.10112359550562,25.806451612903224,0.0,21.25,0.0,0.0,7.646633065636854,0.0,True,0
2022-02-12-16-16-50,labelling_StrongLabel,175.52722513988064,3600.4533009529114,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-50-0.2-5.json,hop_tsiligirides-3-50-0.2-5,32,31,25,6,1360.0,43.87096774193548,26.4,116.66666666666669,0.0681933542634254,9.386695470404131,50.0,tsiligirides_hop,3,50,0.2,5,"0,4,6,8,7,5,2,3,0",230.0,0.7631618484342637,40.67469647776649,81.34939295553298,7,1,16.91176470588235,22.580645161290324,14.285714285714286,21.666666666666668,100.0,0.061555755936818,20.935053188785208,4.390899680020032,False,34442
2022-02-12-11-15-32,labelling_StrongLabel,55.0,3600.7276928424835,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-40-0.4-3.json,hop_tsiligirides-1-40-0.4-3,31,30,18,12,545.0,18.166666666666668,8.61111111111111,32.5,0.0684861125476288,8.435870126384714,40.0,tsiligirides_hop,1,40,0.4,3,"0,8,7,1,2,3,4,5,0",55.0,1.0,25.433635593549,63.58408898387249,7,0,10.091743119266056,23.33333333333333,0.0,7.857142857142857,0.0,0.0,12.479191750901476,0.0,False,29829
2022-02-12-13-33-19,labelling_StrongLabel,105.27320653285396,3600.128339767456,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-30-0.3-2.json,hop_tsiligirides-2-30-0.3-2,20,19,14,5,565.0,29.73684210526316,23.928571428571427,46.0,0.082891583193051,6.18210573440129,30.0,tsiligirides_hop,2,30,0.3,2,"0,6,9,8,7,2,4,5,0",135.0,0.7798015298729922,17.596055253321552,58.65351751107184,7,1,23.893805309734518,36.8421052631579,14.285714285714286,17.5,30.0,0.085308829516072,9.84817546899859,2.9154759474226517,False,9022
2022-02-12-11-15-31,labelling_StrongLabel,52.46477753482746,3600.1792759895325,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-40-0.3-4.json,hop_tsiligirides-1-40-0.3-4,31,30,21,9,555.0,18.5,9.285714285714286,40.0,0.0701801462842846,8.435870126384714,40.0,tsiligirides_hop,1,40,0.3,4,"0,8,9,7,6,5,4,3,2,0",90.0,0.582941972609194,31.999702601332203,79.9992565033305,8,1,16.216216216216218,26.666666666666668,12.5,7.142857142857143,40.0,0.0685102380177339,19.15233780060668,7.877182237323193,False,23340
