run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,algorithm_completed,n_still_active_labels
2022-02-13-00-21-55,labelling_RelaxedTCLabel,460.0,3600.043412208557,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-65-0.1-4.json,hop_tsiligirides-3-65-0.1-4,32,31,28,3,1010.0,32.58064516129032,26.071428571428573,93.33333333333331,0.0718285324735175,9.386695470404131,65.0,tsiligirides_hop,3,65,0.1,4,"0,3,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,3,4,6,0",460.0,1.0,64.53984617725061,99.29207104192402,23,0,45.54455445544554,74.19354838709677,0.0,20.0,0.0,0.0,31.779381879592552,0.0,False,22072
2022-02-13-04-18-33,labelling_RelaxedLabel,295.0,3600.1669867038727,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-30-0.4-3.json,hop_tsiligirides-2-30-0.4-3,20,19,12,7,790.0,41.578947368421055,23.33333333333333,72.85714285714286,0.0686431626265777,6.18210573440129,30.0,tsiligirides_hop,2,30,0.4,3,"0,6,1,2,1,2,1,2,1,2,1,2,1,2,1,5,6,0",295.0,1.0,29.25843759291423,97.5281253097141,16,0,37.34177215189873,84.21052631578948,0.0,18.4375,0.0,0.0,14.35411615270475,0.0,False,15001
2022-02-13-15-12-18,labelling_RelaxedTCLabel,340.0,3600.0343453884125,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-40-0.3-2.json,hop_tsiligirides-2-40-0.3-2,20,19,14,5,590.0,31.05263157894737,22.142857142857142,56.0,0.0718393299088214,6.18210573440129,40.0,tsiligirides_hop,2,40,0.3,2,"0,5,4,1,2,3,4,5,1,2,4,5,1,2,4,5,1,2,4,5,0",340.0,1.0,39.54150774183137,98.85376935457842,19,0,57.6271186440678,100.0,0.0,17.894736842105264,0.0,0.0,19.061580353259465,0.0,False,25297
2022-02-13-00-22-56,labelling_RelaxedTCLabel,240.0,3600.0932116508484,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.1-3.json,hop_tsiligirides-3-70-0.1-3,32,31,28,3,940.0,30.32258064516129,26.071428571428573,70.0,0.0701445778731352,9.386695470404131,70.0,tsiligirides_hop,3,70,0.1,3,"0,5,2,4,5,2,4,5,2,4,6,2,5,0",240.0,1.0,67.8919956655321,96.9885652364744,12,0,25.53191489361702,38.70967741935484,0.0,20.0,0.0,0.0,32.91786568036867,0.0,False,45263
2022-02-12-20-19-52,labelling_RelaxedTCLabel,140.0,3600.014148712158,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-70-0.3-3.json,hop_tsiligirides-1-70-0.3-3,31,30,21,9,465.0,15.5,9.285714285714286,30.0,0.0787766412786125,8.435870126384714,70.0,tsiligirides_hop,1,70,0.3,3,"0,3,4,1,3,4,1,3,4,1,3,4,5,3,4,5,0",140.0,1.0,68.2333657746935,97.4762368209907,15,0,30.107526881720432,50.0,0.0,9.333333333333334,0.0,0.0,30.08691272427249,0.0,False,45896
2022-02-13-14-12-30,labelling_RelaxedTCLabel,10.0,0.0003988742828369,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-5-0.4-5.json,hop_tsiligirides-1-5-0.4-5,31,30,18,12,745.0,24.83333333333333,9.444444444444445,47.91666666666666,0.0692541610287501,8.435870126384714,5.0,tsiligirides_hop,1,5,0.4,5,"0,27,0",10.0,1.0,3.5777087639996634,71.55417527999327,1,0,1.342281879194631,3.333333333333333,0.0,10.0,0.0,0.0,1.7888543819998317,0.0,True,0
2022-02-13-09-51-22,labelling_RelaxedLabel,300.0,3600.113990545273,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-73-0.4-3.json,hop_tsiligirides-1-73-0.4-3,31,30,18,12,485.0,16.166666666666668,10.27777777777778,25.0,0.0727155966345195,8.435870126384714,73.0,tsiligirides_hop,1,73,0.4,3,"0,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,0",300.0,1.0,72.55922639036146,99.39620053474172,30,0,61.855670103092784,100.0,0.0,10.0,0.0,0.0,37.23490510945305,0.0,False,35389
2022-02-13-05-47-51,labelling_RelaxedLabel,750.0,3600.160492181778,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-35-0.3-3.json,hop_tsiligirides-3-35-0.3-3,32,31,22,9,1340.0,43.2258064516129,24.09090909090909,90.0,0.0686086086009646,9.386695470404131,35.0,tsiligirides_hop,3,35,0.3,3,"0,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,3,13,0",750.0,1.0,34.50711680562473,98.59176230178495,30,0,55.97014925373134,96.7741935483871,0.0,25.0,0.0,0.0,17.06621712560467,0.0,False,14896
2022-02-12-22-21-15,labelling_RelaxedTCLabel,620.0,3600.1208403110504,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-100-0.1-2.json,hop_tsiligirides-3-100-0.1-2,32,31,28,3,900.0,29.032258064516128,25.0,66.66666666666667,0.0754425973785171,9.386695470404131,100.0,tsiligirides_hop,3,100,0.1,2,"0,4,3,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,1,5,2,3,0",620.0,1.0,86.24107884430738,86.24107884430738,31,0,68.88888888888889,100.0,0.0,20.0,0.0,0.0,42.26556175749406,0.0,False,42255
2022-02-12-21-20-06,labelling_RelaxedTCLabel,195.0,3600.082896232605,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-25-0.3-3.json,hop_tsiligirides-2-25-0.3-3,20,19,14,5,650.0,34.21052631578947,25.0,60.0,0.0657792558938969,6.18210573440129,25.0,tsiligirides_hop,2,25,0.3,3,"0,7,8,9,7,8,9,7,8,9,10,0",195.0,1.0,24.470077279062043,97.88030911624816,10,0,30.0,52.63157894736842,0.0,19.5,0.0,0.0,10.475973047262148,0.0,False,10017
