run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,lift_mtz,add_vi1,add_vi2,add_vi3,add_vi4,iterations_limit,iterations_used,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_bound,lb_original_obj_value
2022-08-23-04-28-11,frankwolfe_with_vi1_with_vi4_liftMTZ,150.9743012464059,8.367248296737671,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.3-4.json,hop_tsiligirides-1-35-0.3-4,31,30,21,9,495.0,16.5,10.238095238095235,31.11111111111111,0.0788252259341237,8.435870126384714,35.0,tsiligirides_hop,1,35,0.3,4,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-39-11,frankwolfe_with_vi1_with_vi4_liftMTZ,694.5839651761082,6.635847806930542,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.1-4.json,hop_tsiligirides-3-70-0.1-4,32,31,28,3,1010.0,32.58064516129032,26.071428571428573,93.33333333333331,0.0809307372237822,9.386695470404131,70.0,tsiligirides_hop,3,70,0.1,4,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-36-58,frankwolfe_with_vi1_with_vi4_liftMTZ,347.3511153795791,12.10155463218689,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-35-0.3-2.json,hop_tsiligirides-3-35-0.3-2,32,31,22,9,1080.0,34.83870967741935,23.63636363636364,62.22222222222222,0.0828846957263962,9.386695470404131,35.0,tsiligirides_hop,3,35,0.3,2,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-39-44,frankwolfe_with_vi1_with_vi4_liftMTZ,625.5426397983031,5.698821783065796,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-75-0.3-3.json,hop_tsiligirides-3-75-0.3-3,32,31,22,9,1220.0,39.354838709677416,26.818181818181817,70.0,0.0768966606315861,9.386695470404131,75.0,tsiligirides_hop,3,75,0.3,3,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-29-43,frankwolfe_with_vi1_with_vi4_liftMTZ,200.8000514566893,4.345220565795898,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-55-0.2-3.json,hop_tsiligirides-1-55-0.2-3,31,30,24,6,365.0,12.166666666666666,10.208333333333334,20.0,0.070182550686849,8.435870126384714,55.0,tsiligirides_hop,1,55,0.2,3,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-30-43,frankwolfe_with_vi1_with_vi4_liftMTZ,214.48933508756835,3.784315347671509,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-60-0.3-3.json,hop_tsiligirides-1-60-0.3-3,31,30,21,9,445.0,14.833333333333334,9.761904761904765,26.666666666666668,0.0704692780361445,8.435870126384714,60.0,tsiligirides_hop,1,60,0.3,3,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-28-22,frankwolfe_with_vi1_with_vi4_liftMTZ,112.01933556396494,12.93538761138916,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-30-0.3-2.json,hop_tsiligirides-1-30-0.3-2,31,30,21,9,380.0,12.666666666666666,9.047619047619047,21.11111111111111,0.076735553495511,8.435870126384714,30.0,tsiligirides_hop,1,30,0.3,2,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-32-15,frankwolfe_with_vi1_with_vi4_liftMTZ,237.88459592831563,4.911595582962036,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-80-0.4-4.json,hop_tsiligirides-1-80-0.4-4,31,30,18,12,615.0,20.5,9.72222222222222,36.66666666666666,0.0709671028743165,8.435870126384714,80.0,tsiligirides_hop,1,80,0.4,4,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-30-44,frankwolfe_with_vi1_with_vi4_liftMTZ,244.0681135882291,4.557443857192993,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.2-3.json,hop_tsiligirides-1-75-0.2-3,31,30,24,6,405.0,13.5,9.375,30.0,0.0669136480657657,8.435870126384714,75.0,tsiligirides_hop,1,75,0.2,3,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
2022-08-23-04-28-45,frankwolfe_with_vi1_with_vi4_liftMTZ,152.70124329806217,6.853333950042725,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-50-0.4-3.json,hop_tsiligirides-1-50-0.4-3,31,30,18,12,525.0,17.5,9.166666666666666,30.0,0.0762524504061911,8.435870126384714,50.0,tsiligirides_hop,1,50,0.4,3,True,True,False,False,True,150.0,150.0,,,,,,,,,,,,,,,,,
